order_id,order_number,customer_id,created_at,currency,subtotal,total_discounts,total_shipping,total_tax,total_price,financial_status,fulfillment_status,utm_source,utm_medium,utm_campaign,landing_site,referring_site,tags,discount_code
ord_000198,1198,cust_000173,2024-06-02 09:49:29,GBP,37.5,0.0,4.95,8.49,50.94,paid,fulfilled,organic,organic,,/,,,
ord_000235,1235,cust_000205,2024-06-03 13:48:33,GBP,241.66,0.0,0.0,48.33,289.99,paid,fulfilled,klaviyo,email,Restock_Alert,/,,,
ord_000532,1532,cust_000173,2024-06-04 15:37:52,GBP,245.83,0.0,0.0,49.17,295.0,paid,fulfilled,facebook,paid_social,Prospecting_Mens_UK,/,,,
ord_000684,1684,cust_000173,2024-06-07 10:50:01,GBP,233.33,0.0,0.0,46.67,280.0,partially_refunded,fulfilled,google,cpc,Brand_Search_UK,/,,,
ord_000786,1786,cust_000652,2024-06-10 13:47:12,GBP,43.33,0.0,4.95,9.66,57.94,partially_refunded,fulfilled,instagram,paid_social,Retargeting_AllUsers,/,,,
ord_000956,1956,cust_000786,2024-06-13 15:28:14,GBP,40.0,0.0,4.95,8.99,53.94,paid,fulfilled,google,cpc,Shopping_All_EU,/,,,
ord_001127,2127,cust_000935,2024-06-17 13:38:26,GBP,40.0,4.0,4.95,8.19,49.14,paid,fulfilled,direct,none,,/,,,WELCOME10
ord_001216,2216,cust_001015,2024-06-19 15:01:37,GBP,162.5,0.0,0.0,32.5,195.0,paid,fulfilled,klaviyo,email,Abandoned_Cart,/,,,
ord_001731,2731,cust_001460,2024-06-30 18:14:45,GBP,81.67,0.0,0.0,0.0,81.67,paid,fulfilled,klaviyo,email,Win_Back,/,,,
ord_002256,3256,cust_001900,2024-07-13 12:26:34,GBP,383.33,0.0,0.0,76.67,460.0,partially_refunded,fulfilled,organic,organic,,/,,,
ord_002320,3320,cust_001954,2024-07-15 17:25:15,GBP,40.0,0.0,4.95,8.99,53.94,paid,fulfilled,facebook,paid_social,Prospecting_Mens_EU,/,,,
ord_002569,3569,cust_001954,2024-07-21 19:02:30,GBP,41.67,0.0,4.95,9.32,55.94,paid,fulfilled,direct,none,,/,,,
ord_002602,3602,cust_002193,2024-07-22 11:48:05,GBP,170.84,0.0,0.0,34.17,205.01,paid,fulfilled,klaviyo,email,Drop_Announcement,/,,,
ord_003366,4366,cust_000173,2024-08-08 22:56:00,GBP,212.5,0.0,0.0,42.5,255.0,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_003375,4375,cust_002741,2024-08-08 15:41:19,GBP,108.33,0.0,0.0,21.67,130.0,paid,fulfilled,organic,organic,,/,,,
ord_003565,4565,cust_000173,2024-08-13 10:43:56,GBP,40.0,0.0,4.95,8.99,53.94,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_003690,4690,cust_002904,2024-08-15 21:32:52,GBP,35.0,0.0,4.95,7.99,47.94,paid,fulfilled,instagram,paid_social,Prospecting_Mens_EU,/,,,
ord_003714,4714,cust_002741,2024-08-16 14:12:25,GBP,120.83,0.0,0.0,24.17,145.0,paid,fulfilled,organic,organic,,/,,,
ord_003928,4928,cust_001015,2024-08-21 19:36:31,GBP,166.67,0.0,0.0,33.33,200.0,partially_refunded,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,
ord_004129,5129,cust_000935,2024-08-25 22:51:33,GBP,210.83,0.0,0.0,42.17,253.0,paid,fulfilled,klaviyo,email,Drop_Announcement,/,,,
ord_004199,5199,cust_001900,2024-08-27 08:05:27,GBP,245.83,0.0,0.0,0.0,245.83,partially_refunded,fulfilled,google,cpc,Shopping_Hoodies_UK,/,,,
ord_004420,5420,cust_001900,2024-09-01 15:21:31,GBP,291.67,0.0,0.0,58.33,350.0,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_004465,5465,cust_001015,2024-09-02 18:44:12,GBP,108.33,0.0,0.0,0.0,108.33,paid,fulfilled,organic,organic,,/,,,
ord_004586,5586,cust_003400,2024-09-02 16:17:36,GBP,125.0,10.0,0.0,23.0,138.0,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,PRETTYNEW
ord_004628,5628,cust_000935,2024-09-02 17:14:24,GBP,325.0,0.0,0.0,65.0,390.0,partially_refunded,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_004691,5691,cust_003463,2024-09-02 09:30:32,GBP,120.83,0.0,0.0,0.0,120.83,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_004931,5931,cust_003614,2024-09-05 10:01:47,GBP,43.33,0.0,12.95,0.0,56.28,paid,fulfilled,google,cpc,PMax_Menswear_UK,/,,,
ord_004960,5960,cust_000173,2024-09-05 20:27:56,GBP,40.0,0.0,4.95,8.99,53.94,paid,fulfilled,google,cpc,Shopping_Tees_UK,/,,,
ord_005077,6077,cust_002193,2024-09-07 22:11:49,GBP,125.0,0.0,0.0,0.0,125.0,paid,fulfilled,direct,none,,/,,,
ord_005162,6162,cust_003757,2024-09-09 17:37:32,GBP,175.0,0.0,0.0,35.0,210.0,paid,fulfilled,organic,organic,,/,,,
ord_005261,6261,cust_002741,2024-09-10 08:58:24,GBP,362.5,0.0,0.0,72.5,435.0,paid,fulfilled,direct,none,,/,,,
ord_005602,6602,cust_000205,2024-09-17 09:00:57,GBP,45.83,6.87,4.95,8.78,52.69,partially_refunded,fulfilled,klaviyo,email,Drop_Announcement,/,,,AUTUMN24
ord_005733,6733,cust_004077,2024-09-19 19:29:41,GBP,162.5,0.0,0.0,32.5,195.0,partially_refunded,fulfilled,instagram,paid_social,Prospecting_Mens_UK,/,,,
ord_005792,6792,cust_000786,2024-09-20 20:19:43,GBP,43.33,0.0,9.95,0.0,53.28,paid,fulfilled,direct,none,,/,,,
ord_005846,6846,cust_004134,2024-09-20 14:20:03,GBP,116.67,0.0,0.0,23.33,140.0,paid,fulfilled,instagram,paid_social,Prospecting_Mens_EU,/,,,
ord_005915,6915,cust_001900,2024-09-22 19:06:00,GBP,40.0,0.0,9.95,0.0,49.95,paid,fulfilled,facebook,paid_social,Retargeting_AllUsers,/,,,
ord_005961,6961,cust_004201,2024-09-23 11:03:59,GBP,141.67,0.0,0.0,28.33,170.0,paid,fulfilled,tiktok,organic_social,,/,,,
ord_006067,7067,cust_004134,2024-09-24 10:32:49,GBP,40.0,0.0,4.95,8.99,53.94,paid,fulfilled,organic,organic,,/,,,
